timestamp,behavior_events,top_action,top_product,top_category,order_events,avg_order_value,total_revenue,orders_placed,orders_delivered,orders_cancelled
2026-03-13T08:57:56.955624,14267,view,clth-002,books,5433,47921.11,260355374.1,2733,444,102
2026-03-13T08:58:07.522684,64,view,clth-002,clothing,26,81819.98,2127319.54,14,1,0
2026-03-13T08:58:17.648664,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:58:27.879702,1,add_to_cart,book-003,books,0,0,0,0,0,0
2026-03-13T08:58:38.097643,1273,view,clth-004,clothing,483,52362.2,25290943.88,243,41,11
2026-03-13T08:58:48.617359,76,view,elec-002,clothing,16,39653.61,634457.8,11,1,0
2026-03-13T08:58:59.166801,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:59:09.577683,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:59:19.815986,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:59:30.169942,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:59:40.519856,0,none,none,none,0,0,0,0,0,0
2026-03-13T08:59:50.846050,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:00:01.192784,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:00:11.678937,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:00:22.029428,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:00:32.334662,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:00:42.593719,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:08:21.808102,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:08:32.092504,0,none,none,none,2215,47895.38,106088274.25,1092,208,39
2026-03-13T09:08:42.278564,17444,view,clth-002,clothing,4414,48084.77,212246187.08,2234,345,90
2026-03-13T09:08:52.553950,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:03.177663,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:16.728306,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:27.435182,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:37.812188,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:48.227416,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:09:58.826962,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:10:09.253396,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:10:19.762843,0,none,none,none,2504,46704.18,116947258.91,1231,226,51
2026-03-13T09:10:29.853906,19514,view,clth-002,clothing,4925,47801.54,235422590.37,2507,392,93
2026-03-13T09:10:40.370781,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:10:50.972626,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:01.212720,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:11.902310,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:22.396905,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:32.854997,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:43.395230,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:11:53.656224,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:12:04.335646,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:12:14.803950,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:12:25.292188,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:12:35.675028,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:12:46.250656,19514,view,clth-002,clothing,7429,47431.67,352369849.28,3738,618,144
2026-03-13T09:12:56.560839,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:06.818618,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:17.080067,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:27.392770,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:37.866486,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:48.281186,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:13:59.140579,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:14:09.644295,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:14:20.196427,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:14:30.608669,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:14:40.867111,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:14:51.136337,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:01.633304,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:12.066192,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:22.366791,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:32.735027,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:43.148263,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:15:53.682091,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:16:04.041111,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:16:14.407535,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:45:32.426055,23384,view,elec-003,clothing,8935,47080.54,420664633.14,4543,739,166
2026-03-13T09:45:42.636642,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:45:52.777576,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:03.137142,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:13.479187,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:24.198175,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:34.702723,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:45.040009,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:46:55.508929,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:06.269643,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:16.905749,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:27.805234,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:38.269463,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:48.737392,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:47:59.067379,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:48:09.359209,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:48:19.690215,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:48:30.057709,0,none,none,none,0,0,0,0,0,0
2026-03-13T09:48:40.468409,0,none,none,none,0,0,0,0,0,0
