timestamp,order_events,units_ordered,units_delivered,units_cancelled,fulfillment_rate,top_warehouse,top_product,top_category,orders_placed,orders_delivered,orders_cancelled
2026-03-13T13:59:49.339639,456,446,58,7,13.0,wh-hyderabad,clth-002,books,240,36,5
2026-03-13T13:59:59.543902,141,127,24,9,18.9,wh-mumbai,clth-003,books,72,12,4
2026-03-13T14:00:09.688091,45,39,4,0,10.3,wh-delhi,sprt-002,books,19,3,0
2026-03-13T14:00:20.389319,41,37,8,0,21.6,wh-hyderabad,elec-004,electronics,18,2,0
2026-03-13T14:00:30.913152,49,57,1,0,1.8,wh-chennai,sprt-001,electronics,29,1,0
2026-03-13T14:00:42.659280,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:00:52.692932,26,17,6,0,35.3,wh-hyderabad,home-003,home,8,2,0
2026-03-13T14:01:02.996752,202,198,15,7,7.6,wh-mumbai,book-001,electronics,106,9,3
2026-03-13T14:01:13.509404,512,462,77,17,16.7,wh-hyderabad,book-004,clothing,247,44,11
2026-03-13T14:01:23.509733,130,108,14,3,13.0,wh-mumbai,home-001,home,59,5,2
2026-03-13T14:01:33.991684,38,25,8,1,32.0,wh-chennai,elec-004,books,17,3,1
2026-03-13T14:01:44.153388,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:01:54.344292,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:04.552963,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:14.779289,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:24.961708,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:35.207802,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:45.496676,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:02:55.684696,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:05.916964,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:16.096044,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:26.377743,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:36.536469,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:46.714293,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:03:56.853117,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:06.987690,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:17.196014,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:27.449963,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:37.658984,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:47.847866,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:04:58.114911,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:05:08.282643,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:05:18.554008,0,0,0,0,0,none,none,none,0,0,0
